GPUs  Prec   Aggregate    Avg/GPU         Per-GPU peaks (TFLOPS)
4     bf8    13208.86     3302.22         gpu17010=3393.55;gpu27226=3214.95;gpu36479=3352.17;gpu42583=3248.19
4     fp16   6150.21      1537.55         gpu17010=1548.24;gpu27226=1548.61;gpu36479=1539.93;gpu42583=1513.44
4     bf16   6562.85      1640.71         gpu17010=1659.64;gpu27226=1635.84;gpu36479=1636.05;gpu42583=1631.32
4     fp32   614.13       153.53          gpu17010=154.21;gpu27226=153.33;gpu36479=153.72;gpu42583=152.87
4     fp64   307.57       76.89           gpu17010=77.04;gpu27226=76.78;gpu36479=77.01;gpu42583=76.74
5     fp4    13615.21     2723.04         gpu1590=3029.57;gpu17010=3028.96;gpu27226=1660.65;gpu36479=2868.44;gpu42583=3027.59
5     fp6    6195.61      1239.12         gpu1590=1238.70;gpu17010=1239.57;gpu27226=1238.16;gpu36479=1240.80;gpu42583=1238.38
5     bf6    6196.74      1239.35         gpu1590=1238.54;gpu17010=1239.16;gpu27226=1238.16;gpu36479=1241.73;gpu42583=1239.16
5     fp8    18129.75     3625.95         gpu1590=3546.81;gpu17010=3714.57;gpu27226=3628.75;gpu36479=3628.75;gpu42583=3610.88
5     bf8    16256.30     3251.26         gpu1590=3262.64;gpu17010=3296.89;gpu27226=3191.61;gpu36479=3227.92;gpu42583=3277.23
5     fp16   7684.48      1536.90         gpu1590=1511.36;gpu17010=1577.49;gpu27226=1526.51;gpu36479=1558.48;gpu42583=1510.64
5     bf16   8153.17      1630.63         gpu1590=1608.84;gpu17010=1656.49;gpu27226=1635.68;gpu36479=1626.62;gpu42583=1625.54
5     fp32   767.09       153.42          gpu1590=152.75;gpu17010=154.36;gpu27226=153.51;gpu36479=153.62;gpu42583=152.86
5     fp64   384.11       76.82           gpu1590=76.69;gpu17010=77.08;gpu27226=76.74;gpu36479=76.99;gpu42583=76.60
6     fp4    16566.42     2761.07         gpu1590=1643.17;gpu17010=3678.17;gpu27226=3233.86;gpu36479=2520.29;gpu42583=1784.21;gpu51771=3706.72
6     fp6    7435.88      1239.31         gpu1590=1240.77;gpu17010=1238.92;gpu27226=1238.31;gpu36479=1240.39;gpu42583=1239.20;gpu51771=1238.28
6     bf6    7437.27      1239.55         gpu1590=1239.96;gpu17010=1239.91;gpu27226=1238.12;gpu36479=1241.72;gpu42583=1239.58;gpu51771=1237.97
6     fp8    21733.58     3622.26         gpu1590=3501.30;gpu17010=3695.84;gpu27226=3564.06;gpu36479=3528.95;gpu42583=3665.04;gpu51771=3778.39
6     bf8    19716.14     3286.02         gpu1590=3311.78;gpu17010=3331.85;gpu27226=3182.38;gpu36479=3326.81;gpu42583=3267.49;gpu51771=3295.82
6     fp16   9163.14      1527.19         gpu1590=1486.80;gpu17010=1546.44;gpu27226=1546.43;gpu36479=1526.89;gpu42583=1509.76;gpu51771=1546.82
6     bf16   9869.05      1644.84         gpu1590=1608.13;gpu17010=1656.07;gpu27226=1634.96;gpu36479=1626.06;gpu42583=1632.53;gpu51771=1711.30
6     fp32   920.42       153.40          gpu1590=152.57;gpu17010=154.42;gpu27226=153.33;gpu36479=153.69;gpu42583=152.84;gpu51771=153.56
6     fp64   461.17       76.86           gpu1590=76.63;gpu17010=77.17;gpu27226=76.71;gpu36479=77.13;gpu42583=76.68;gpu51771=76.85
7     fp4    16890.28     2412.90         gpu1590=3004.13;gpu11806=1763.48;gpu17010=2947.75;gpu27226=2672.79;gpu36479=3095.37;gpu42583=1809.45;gpu51771=1597.31
7     fp6    8574.54      1224.93         gpu1590=1239.06;gpu11806=1238.75;gpu17010=1166.05;gpu27226=1237.36;gpu36479=1213.75;gpu42583=1240.06;gpu51771=1239.51
7     bf6    8642.26      1234.61         gpu1590=1239.62;gpu11806=1238.61;gpu17010=1208.75;gpu27226=1236.83;gpu36479=1240.53;gpu42583=1238.77;gpu51771=1239.15
7     fp8    25412.51     3630.36         gpu1590=3610.88;gpu11806=3604.96;gpu17010=3695.84;gpu27226=3599.06;gpu36479=3587.31;gpu42583=3587.31;gpu51771=3727.16
7     bf8    23045.85     3292.26         gpu1590=3336.91;gpu11806=3301.84;gpu17010=3383.11;gpu27226=3191.61;gpu36479=3229.11;gpu42583=3214.95;gpu51771=3388.32
7     fp16   10704.26     1529.18         gpu1590=1485.21;gpu11806=1543.08;gpu17010=1552.98;gpu27226=1527.10;gpu36479=1537.78;gpu42583=1509.28;gpu51771=1548.83
7     bf16   11477.24     1639.61         gpu1590=1608.65;gpu11806=1647.26;gpu17010=1662.15;gpu27226=1633.68;gpu36479=1631.38;gpu42583=1620.91;gpu51771=1673.21
7     fp32   1073.79      153.40          gpu1590=152.57;gpu11806=153.56;gpu17010=154.46;gpu27226=153.50;gpu36479=153.59;gpu42583=152.75;gpu51771=153.36
7     fp64   537.82       76.83           gpu1590=76.66;gpu11806=76.89;gpu17010=77.10;gpu27226=76.70;gpu36479=77.07;gpu42583=76.62;gpu51771=76.77
8     fp4    17733.21     2216.65         gpu1590=3053.23;gpu11806=2149.78;gpu17010=2172.39;gpu27226=1469.23;gpu36479=1535.36;gpu42583=3951.97;gpu51771=1715.43;gpu57875=1685.84
8     fp6    9910.19      1238.77         gpu1590=1239.48;gpu11806=1237.97;gpu17010=1239.71;gpu27226=1237.12;gpu36479=1240.95;gpu42583=1236.22;gpu51771=1237.89;gpu57875=1240.84
8     bf6    9908.77      1238.60         gpu1590=1237.28;gpu11806=1238.23;gpu17010=1239.45;gpu27226=1236.94;gpu36479=1241.59;gpu42583=1235.35;gpu51771=1238.75;gpu57875=1241.17
8     fp8    28816.51     3602.06         gpu1590=3501.63;gpu11806=3562.64;gpu17010=3733.49;gpu27226=3593.18;gpu36479=3665.04;gpu42583=3558.29;gpu51771=3665.04;gpu57875=3537.22
8     bf8    26423.60     3302.95         gpu1590=3191.61;gpu11806=3316.78;gpu17010=3367.57;gpu27226=3238.62;gpu36479=3331.85;gpu42583=3291.95;gpu51771=3296.89;gpu57875=3388.32
8     fp16   12301.45     1537.68         gpu1590=1514.48;gpu11806=1543.09;gpu17010=1548.45;gpu27226=1522.62;gpu36479=1570.73;gpu42583=1508.82;gpu51771=1564.03;gpu57875=1529.22
8     bf16   13113.80     1639.22         gpu1590=1608.25;gpu11806=1647.74;gpu17010=1656.88;gpu27226=1633.35;gpu36479=1626.21;gpu42583=1637.40;gpu51771=1671.44;gpu57875=1632.53
8     fp32   1228.63      153.58          gpu1590=152.63;gpu11806=153.59;gpu17010=154.35;gpu27226=153.40;gpu36479=153.84;gpu42583=152.82;gpu51771=153.68;gpu57875=154.31
8     fp64   614.90       76.86           gpu1590=76.64;gpu11806=76.88;gpu17010=77.03;gpu27226=76.69;gpu36479=76.96;gpu42583=76.75;gpu51771=76.74;gpu57875=77.20
